Index,SC_IP,Link Name,Channel,TXPower,Radio Mode,Link Mode, DLSINADR1,ULSINADR1,DLSINADR2,ULSINADR2,DLRSSI1,ULRSSI1,DLRSSI2,ULRSSI2,DLUBR,ULUBR,DLPER
Atenuation value: 0
43,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 28, 28, 27, -62, -74, -63, -77,, 30 Mb/sMIMO-B,50.4031416124
44,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 25, 27, 24, 28, -74, -77, -74, -77, 15 Mbs, 15 Mb/s,68.1774447163
Atenuation value: 10
46,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 27, 28, -65, -75, -65, -75, 6.7 Mbs, 6.7 Mb/s,80.2195114712
47,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
48,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 29, 29, 29, 27, -62, -74, -63, -78,, 10 Mb/sMIMO-B,50.33324144
49,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 25, 27, 25, 28, -73, -77, -73, -77, 1.7 Mbs, 1.7 Mb/s,69.4060297217
51,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 28, 28, 28, -65, -75, -65, -75, 15 Mbs, 15 Mb/s,80.6550213259
52,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
53,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 28, 28, 27, -62, -75, -64, -78,, 30 Mb/sMIMO-B,50.2800728717
54,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 25, 27, 24, 27, -75, -75, -73, -77, 15 Mbs, 15 Mb/s,69.7778808816
56,10.107.10.1, Link1_11.1, 5 MHz, 10, rf1rf2, sisomimoa, 28, 27, 28, 28, -65, -75, -65, -76, 15 Mbs, 15 Mb/s,80.5730092581
57,10.107.10.1, Link2_12.1, 5 MHz, 10, rf1rf2, mimoab, 0, 0, 0, 0, -120, -120, -120, -120, 1.7 Mbs, 1.7 Mb/s,0
58,10.107.10.1, Link3_13.1, 5 MHz, 10, rf1rf2, mimoab, 28, 28, 28, 27, -62, -76, -63, -78,, 30 Mb/sMIMO-B,50.2287319061
59,10.107.10.1, Link4_14.1, 5 MHz, 10, rf1rf2, sisomimoa, 25, 27, 25, 27, -74, -77, -74, -77, 15 Mbs, 15 Mb/s,69.7086174134
